ticket_id,company_type,created_at,department,employee_role,channel,ticket_text,category,subcategory,true_category,true_subcategory,label_quality,priority,status,sentiment,resolution_hours
ENT-007571,Global Technology Consulting Company,2025-06-11 04:03,Customer Support,Coordinator,Walk-up,this is affecting my work for a client deliverable. my blue screen is not working properly. i need the same setup as my teammate,Hardware,Blue Screen,Hardware,Blue Screen,clean_label,Medium,Resolved,Frustrated,20.6
ENT-014425,Global Technology Consulting Company,2025-08-06 12:17,Sales,Team Lead,Email,"The time, leave, or policy information in the portal looks incorrect. Also, after an update, the app behaves differently and blocks my task. screenshot attached",HR Support,Employee Verification,HR Support,Employee Verification,clean_label,Medium,Resolved,Neutral,22.5
ENT-014703,Global Technology Consulting Company,2025-10-15 22:41,Finance,Team Lead,Portal,I am seeing this issue again today. My payroll or benefits information does not look right this cycle.,HR Support,Leave Request,HR Support,Leave Request,clean_label,Medium,Resolved,Neutral,92.1
ENT-008852,Global Technology Consulting Company,2025-11-04 21:33,Consulting,Analyst,Portal,I am seeing this issue again today. I need help with onboarding/offboarding paperwork for a team member. screenshot attached,HR Support,Offboarding,HR Support,Offboarding,clean_label,Medium,In Progress,Frustrated,
ENT-024645,Global Technology Consulting Company,2025-06-09 23:20,Sales,Consultant,Email,I am seeing this issue again today. The project tracker is not visible to everyone who needs it. screenshot attached,Internal Project,Reporting Dashboard,Internal Project,Reporting Dashboard,clean_label,Low,In Progress,Frustrated,
ENT-004621,Global Technology Consulting Company,2025-05-25 22:09,HR,Specialist,Email,The device keeps disconnecting during calls and client work.,Software,Adobe,Hardware,Blue Screen,noisy_label,Medium,In Progress,Neutral,
ENT-020896,Global Technology Consulting Company,2025-05-29 16:27,Customer Support,Team Lead,Email,Could you please help when possible? I need more room or cleanup help for project documents,Storage,OneDrive Full,Storage,OneDrive Full,clean_label,Low,Waiting on User,Frustrated,
ENT-003334,Global Technology Consulting Company,2025-05-16 17:32,Marketing,Manager,Email,The error message is not very clear. My headset is not wrkng properly. someone on my team has access but I do not,Hardware,Headset,Hardware,Headset,clean_label,Low,Resolved,Neutral,161.6
ENT-012965,Global Technology Consulting Company,2025-05-18 03:44,Finance,Specialist,Portal,My payroll or benefits information does not look right this cycle.,HR Support,Policy Question,HR Support,Policy Question,clean_label,High,Resolved,Neutral,19.6
ENT-018103,Global Technology Consulting Company,2025-05-27 22:40,Operations,Analyst,Phone,"this is affecting my work for a client deliverable. i cannot sign in or reach the system i need for work. nothing opens when i click it also, a setup step needs elevated access for a short time.",Access,SAP Access,Access,SAP Access,clean_label,Low,Resolved,Neutral,53.9
ENT-021776,Global Technology Consulting Company,2025-10-23 22:55,Executive Office,Coordinator,Phone,The backup or sync process is not completing.,Storage,Shared Drive Cleanup,Storage,Shared Drive Cleanup,clean_label,Medium,Resolved,Neutral,59.9
ENT-016094,Global Technology Consulting Company,2025-01-16 06:52,Delivery,Senior Associate,Portal,I need help before my next meeting. A teammate can open the location but I get a blocked message.,Access,MFA Enrollment,Access,MFA Enrollment,clean_label,Low,Waiting on User,Neutral,
ENT-020893,Global Technology Consulting Company,2025-10-12 21:36,Delivery,Team Lead,Walk-up,"the shared location looks full or unavailable. also, the connection drops often, especially when i am remote.",Storage,Archive Request,Storage,Archive Request,clean_label,Medium,Closed,Frustrated,33.3
ENT-007442,Global Technology Consulting Company,2025-10-21 00:45,Finance,Analyst,Phone,"I can use the system, but the physical setup is unreliable. Also, i need help with onboarding/offboarding paperwork for a team member.",Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Low,Closed,Neutral,87.6
ENT-014081,Global Technology Consulting Company,2025-08-19 14:21,Consulting,Coordinator,Chat,I need help with onboarding/offboarding paperwork for a team member.,HR Support,Employee Verification,HR Support,Employee Verification,clean_label,Low,Resolved,Neutral,114.5
ENT-016465,Global Technology Consulting Company,2025-03-22 06:59,Consulting,Director,Walk-up,"I need permission for a client workspace before the deadline. Also, we need support setting up internal tools for a new initiative.",Access,Shared Drive Access,Access,Shared Drive Access,clean_label,Critical,Closed,Frustrated,11.5
ENT-009429,Global Technology Consulting Company,2025-02-10 12:18,HR,Manager,Chat,"I have a question about my employee record and need help updating it. Also, i need permisson for a client workspace before the deadline. pls advise",HR Support,Policy Question,HR Support,Policy Question,clean_label,Medium,Resolved,Neutral,78.3
ENT-016951,Global Technology Consulting Company,2025-12-23 20:30,Finance,Engineer,Chat,Not sure if this belongs to IT or another team. A teammate can open the location but I get a blocked message.,Access,Email Access,Access,Email Access,clean_label,High,In Progress,Neutral,
ENT-024460,Global Technology Consulting Company,2025-11-22 06:32,HR,Director,Walk-up,This is affecting my work for a client deliverable. Our team needs a new workspace or project area created. pls advise,Internal Project,Project Permission,Internal Project,Project Permission,clean_label,Medium,Resolved,Neutral,61.5
ENT-024439,Global Technology Consulting Company,2025-04-07 20:42,HR,Director,Portal,I am blocked right now and not sure what changed. We need support setting up internal tools for a new initiative.,Internal Project,Project Permission,Internal Project,Project Permission,clean_label,High,Waiting on Vendor,Neutral,
ENT-004213,Global Technology Consulting Company,2025-11-04 15:08,Customer Support,Analyst,Email,The screen or attached equipment randomly stops responding.,Network,WiFi,Hardware,Docking Station,noisy_label,Medium,Open,Neutral,
ENT-022738,Global Technology Consulting Company,2025-02-08 10:44,Engineering,Team Lead,Phone,I need to requst equipment or software for upcoming work.,Purchase,Purchase Approval,Purchase,Purchase Approval,clean_label,Low,Resolved,Frustrated,116.8
ENT-022164,Global Technology Consulting Company,2025-06-27 21:23,HR,Coordinator,Portal,this started happening after yesterday afternoon i need to requst equipment or software for upcoming work,Purchase,Equipment Procurement,Purchase,Equipment Procurement,clean_label,High,Waiting on User,Frustrated,
ENT-017169,Global Technology Consulting Company,2025-07-26 14:09,Operations,Specialist,Phone,I need permission for a client workspace before the deadline.,Access,VPN Access,Access,VPN Access,clean_label,Medium,Resolved,Neutral,22.8
ENT-018284,Global Technology Consulting Company,2025-07-02 00:18,Marketing,Specialist,Portal,Can someone check this for me? I need permission for a client workspace before the deadline.,Access,MFA Enrollment,Access,MFA Enrollment,clean_label,Critical,Waiting on User,Neutral,
ENT-013859,Global Technology Consulting Company,2025-01-15 05:49,Sales,Manager,Email,This is affecting my work for a client deliverable. I have a question about my employee record and need help updating it.,HR Support,Leave Request,HR Support,Leave Request,clean_label,Medium,Resolved,Urgent,55.6
ENT-026828,Global Technology Consulting Company,2025-01-09 17:10,Operations,Director,Phone,I need approval to install or run a tool for my work.,Administrative Rights,Install Approval,Administrative Rights,Install Approval,clean_label,Medium,Resolved,Neutral,56.8
ENT-022928,Global Technology Consulting Company,2025-05-28 01:19,Consulting,Intern,Walk-up,the approval flow for a purchase is confusing or stuck.,Purchase,Monitor Request,Purchase,Monitor Request,clean_label,Medium,In Progress,Neutral,
ENT-020727,Global Technology Consulting Company,2025-08-14 04:13,Customer Support,Director,Portal,"The shared location looks full or unavailable. Also, can you help me order the correct item for my role? pls advise",Storage,Quota Increase,Storage,Quota Increase,clean_label,Medium,Resolved,Confused,88.0
ENT-011915,Global Technology Consulting Company,2025-03-03 23:40,Legal,Specialist,Portal,I have a question about my employee record and need help updating it.,HR Support,Policy Question,HR Support,Policy Question,clean_label,Medium,Resolved,Neutral,30.0
ENT-004884,Global Technology Consulting Company,2025-10-25 01:49,Operations,Specialist,Phone,Not sure if this belongs to IT or another team. The device keeps disconnecting during calls and client work.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Medium,Waiting on User,Neutral,
ENT-024367,Global Technology Consulting Company,2025-02-15 21:24,Engineering,Director,Portal,we need support setting up internal tools for a new initiative.,Internal Project,Reporting Dashboard,Internal Project,Reporting Dashboard,clean_label,Medium,Resolved,Frustrated,54.1
ENT-011863,Global Technology Consulting Company,2025-01-19 09:31,Engineering,Specialist,Walk-up,This started happening after yday afternoon. I need help with onboarding/offboarding paperwork for a team member.,HR Support,Employee Verification,HR Support,Employee Verification,clean_label,Medium,Closed,Urgent,25.8
ENT-022255,Global Technology Consulting Company,2025-01-23 19:01,Marketing,Senior Associate,Portal,The error message is not very clear. Can you help me order the correct item for my role?,Purchase,Vendor Quote,Purchase,Vendor Quote,clean_label,High,Open,Frustrated,
ENT-013039,Global Technology Consulting Company,2025-02-20 18:20,Engineering,Intern,Email,"I need help before my next meeting. I need help with onboarding/offboarding paperwork for a team member. Also, the backup or sync process is not completing. pls advise",HR Support,Payroll,HR Support,Payroll,clean_label,Low,Resolved,Neutral,49.0
ENT-021559,Global Technology Consulting Company,2025-03-26 06:17,Sales,Coordinator,Walk-up,Could you please help when possible? The backup or sync process is not completing.,Storage,File Recovery,Storage,File Recovery,clean_label,Medium,Resolved,Frustrated,71.8
ENT-009902,Global Technology Consulting Company,2025-12-23 08:41,HR,Senior Associate,Portal,The error message is not very clear. I submitted something for HR but cannot see the status anywhere.,HR Support,Onboarding,HR Support,Onboarding,clean_label,Medium,Closed,Neutral,63.5
ENT-008677,Global Technology Consulting Company,2025-11-04 10:11,HR,Intern,Chat,Can someone check this for me? I need help with onboarding/offboarding paperwork for a team member.,HR Support,Leave Request,HR Support,Leave Request,clean_label,Critical,Resolved,Confused,1.2
ENT-010840,Global Technology Consulting Company,2025-08-26 13:07,Executive Office,Team Lead,Chat,"I am blocked right now and not sure what changed. I submitted something for HR but cannot see the status anywhere. Also, the login works in one place but fails in another.",HR Support,Benefits,HR Support,Benefits,clean_label,Low,In Progress,Neutral,
ENT-015269,Global Technology Consulting Company,2025-04-05 14:16,Sales,Engineer,Walk-up,I am seeing this issue again today. I cannot sign in or reach the system I need for work. my setup is not behaving normally pls advise,Access,VPN Access,Access,VPN Access,clean_label,High,Open,Confused,
ENT-013160,Global Technology Consulting Company,2025-11-23 06:53,Finance,Manager,Email,i have a question about my employee record and need help updating it.,HR Support,Offboarding,HR Support,Offboarding,clean_label,Medium,Waiting on User,Urgent,
ENT-027433,Global Technology Consulting Company,2025-11-28 22:54,HR,Manager,Chat,I need the same local permission I had on my previous device,Administrative Rights,Local Admin,Administrative Rights,Local Admin,clean_label,High,Waiting on User,Neutral,
ENT-019340,Global Technology Consulting Company,2025-02-08 14:54,Legal,Team Lead,Walk-up,I changed teams and now some tools are unavailable.,Access,Email Access,Access,Email Access,clean_label,High,Closed,Neutral,29.1
ENT-008340,Global Technology Consulting Company,2025-01-21 12:10,Customer Support,Analyst,Walk-up,"I can use the system, but the physical setup is unreliable.",Hardware,Battery,Hardware,Battery,clean_label,Medium,Waiting on User,Urgent,
ENT-017331,Global Technology Consulting Company,2025-11-24 00:47,Executive Office,Consultant,Walk-up,"I am blocked right now and not sure what changed. I changed teams and now some tools are unavailable. Also, our team needs a new workspace or project area created.",Access,SAP Access,Access,SAP Access,clean_label,High,Open,Confused,
ENT-015738,Global Technology Consulting Company,2025-10-19 09:34,Legal,Consultant,Portal,i am blocked right now and not sure what changed i changed teams and now some tools are unavailable,Security,Account Compromise,Access,Email Access,noisy_label,High,Resolved,Frustrated,31.1
ENT-029066,Global Technology Consulting Company,2025-07-03 16:47,HR,Analyst,Chat,I can access regular websites but company tools are unstable.,Access,Salesforce Access,Network,Ethernet,noisy_label,Medium,Resolved,Neutral,22.5
ENT-009677,Global Technology Consulting Company,2025-02-04 10:22,Finance,Intern,Phone,"The error message is not very clear. The time, leave, or policy information in the portal looks incorrect.",HR Support,Timesheet,HR Support,Timesheet,clean_label,High,Open,Confused,
ENT-027764,Global Technology Consulting Company,2025-08-14 21:37,Finance,Consultant,Walk-up,The error message is not very clear. The tool opens but some features are missing or disabled.,Software,Office Apps,Software,Office Apps,clean_label,Low,Resolved,Urgent,55.2
ENT-013430,Global Technology Consulting Company,2025-08-16 00:59,Delivery,Consultant,Phone,I tried the usual steps but it still does not work. I have a question about my employee record and need help updating it.,HR Support,Employee Verification,HR Support,Employee Verification,clean_label,High,In Progress,Frustrated,
ENT-001696,Global Technology Consulting Company,2025-05-31 01:04,Marketing,Senior Associate,Phone,The screen or attached equipment randomly stops responding.,Hardware,Laptop,Hardware,Laptop,clean_label,Medium,Resolved,Neutral,76.4
ENT-006572,Global Technology Consulting Company,2025-07-08 05:33,Consulting,Senior Associate,Portal,This is affecting my work for a client deliverable. The device keeps disconnecting during calls and client work.,Hardware,Monitor,Hardware,Monitor,clean_label,Low,In Progress,Urgent,
ENT-004828,Global Technology Consulting Company,2025-12-12 18:38,Customer Support,Specialist,Portal,This is affecting my work for a client deliverable. The device keeps disconnecting during calls and client work.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,High,In Progress,Confused,
ENT-012281,Global Technology Consulting Company,2025-03-24 05:41,Sales,Analyst,Email,I have a question about my employee record and need help updating it.,HR Support,Payroll,HR Support,Payroll,clean_label,Medium,Closed,Urgent,13.9
ENT-005019,Global Technology Consulting Company,2025-06-13 01:54,Engineering,Specialist,Email,My battery is not working properly. I already restarted twice,Hardware,Battery,Hardware,Battery,clean_label,Critical,Closed,Frustrated,4.9
ENT-001307,Global Technology Consulting Company,2025-11-30 15:52,Engineering,Engineer,Portal,"My webcam is not working properly. my setup is not behaving normally Also, i get an error when trying to export or submit work. screenshot attached",Hardware,Webcam,Hardware,Webcam,clean_label,High,In Progress,Neutral,
ENT-018513,Global Technology Consulting Company,2025-08-19 18:29,Operations,Director,Walk-up,The login works in one place but fails in another.,Access,Email Access,Access,Email Access,clean_label,Low,Resolved,Urgent,53.0
ENT-028173,Global Technology Consulting Company,2025-01-14 12:21,Operations,Director,Walk-up,The application is installed but does not launch correctly.,Software,IDE,Software,IDE,clean_label,Medium,Resolved,Neutral,13.1
ENT-029202,Global Technology Consulting Company,2025-07-09 19:08,Customer Support,Coordinator,Chat,"This started happening after yesterday afternoon. Calls and uploads keep failing because the connection is unreliable. Also, a teammate can open the location but i get a blocked message. screenshot attached",Network,DNS,Network,DNS,clean_label,High,Resolved,Frustrated,28.4
ENT-003676,Global Technology Consulting Company,2025-03-10 13:01,Finance,Senior Associate,Chat,This started happening after yday afternoon. The device keeps disconnecting during calls and client work.,Hardware,Headset,Hardware,Headset,clean_label,Low,Open,Frustrated,
ENT-026623,Global Technology Consulting Company,2025-12-10 16:48,Consulting,Senior Associate,Phone,I am blocked right now and not sure what changed. A setup step needs elevated access for a short time. pls advise,Administrative Rights,Elevated Permission,Administrative Rights,Elevated Permission,clean_label,Medium,Closed,Neutral,53.5
ENT-003138,Global Technology Consulting Company,2025-07-12 12:29,Engineering,Engineer,Chat,"I am blocked right now and not sure what changed. I can use the system, but the physical setup is unreliable.",Purchase,Laptop Request,Hardware,Battery,noisy_label,High,Waiting on User,Frustrated,
ENT-007286,Global Technology Consulting Company,2025-04-14 01:07,Marketing,Engineer,Email,The device keeps disconnecting during calls and client work.,Hardware,Webcam,Hardware,Webcam,clean_label,Critical,Resolved,Frustrated,4.7
ENT-029587,Global Technology Consulting Company,2025-02-12 15:12,Delivery,Engineer,Walk-up,The security prompt keeps failing even after I approve it. pls advise,Security,Data Loss Concern,Security,Data Loss Concern,clean_label,Critical,Open,Confused,
ENT-001139,Global Technology Consulting Company,2025-12-03 04:25,Customer Support,Team Lead,Email,i am seeing this issue again today. the screen or attached equipment randomly stops responding.,Hardware,Blue Screen,Hardware,Blue Screen,clean_label,High,Waiting on Vendor,Confused,
ENT-029815,Global Technology Consulting Company,2025-04-01 13:58,Customer Support,Engineer,Email,"I need help before my next meeting. I may have clicked something suspicious and need guidance. Also, a vendor quote or license request needs review. pls advise",Security,Account Compromise,Security,Account Compromise,clean_label,High,In Progress,Neutral,
ENT-016282,Global Technology Consulting Company,2025-06-18 06:05,Marketing,Specialist,Portal,The error message is not very clear A teammate can open the location but I get a blocked message,Access,VPN Access,Access,VPN Access,clean_label,Medium,Closed,Urgent,70.3
ENT-015143,Global Technology Consulting Company,2025-02-01 18:50,Legal,Director,Phone,"this started happening after yesterday afternoon. i changed teams and now some tools are unavailable. also, the security prompt keeps failing even after i approve it.",Access,Active Directory,Access,Active Directory,clean_label,Medium,Resolved,Neutral,29.4
ENT-029705,Global Technology Consulting Company,2025-08-17 21:19,Marketing,Consultant,Phone,Not sure if this belongs to IT or another team. There was an unusual login or warning on my account.,Security,Data Loss Concern,Security,Data Loss Concern,clean_label,High,Resolved,Urgent,13.6
ENT-007471,Global Technology Consulting Company,2025-06-09 23:32,Consulting,Engineer,Phone,I need help before my next meeting. My docking station is not working properly. I cannot get into the thing I need,Hardware,Docking Station,Hardware,Docking Station,clean_label,Low,Closed,Neutral,27.6
ENT-000729,Global Technology Consulting Company,2025-09-06 23:06,Customer Support,Senior Associate,Chat,The screen or attached equipment randomly stops responding.,Hardware,Headset,Hardware,Headset,clean_label,Medium,In Progress,Neutral,
ENT-008545,Global Technology Consulting Company,2025-08-21 05:31,Finance,Coordinator,Portal,I tried the usual steps but it still does not work. I submitted something for HR but cannot see the status anywhere.,HR Support,Timesheet,HR Support,Timesheet,clean_label,Medium,Waiting on User,Neutral,
ENT-027677,Global Technology Consulting Company,2025-07-18 19:42,Finance,Manager,Walk-up,"I am seeing this issue again today. An application keeps crashing or freezing during normal use. Also, a file/link looks unsafe and i did not open it.",Software,ERP,Software,ERP,clean_label,Medium,Resolved,Frustrated,54.1
ENT-005045,Global Technology Consulting Company,2025-10-03 15:03,Finance,Engineer,Phone,"I am blocked right now and not sure what changed. The screen or attached equipment randomly stops responding. Also, internal pages load slowly or fail during meetings.",Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Medium,Closed,Frustrated,86.0
ENT-013340,Global Technology Consulting Company,2025-07-31 03:18,Customer Support,Coordinator,Chat,I submitted something for HR but can not see the status anywhere.,HR Support,Benefits,HR Support,Benefits,clean_label,High,In Progress,Frustrated,
ENT-019529,Global Technology Consulting Company,2025-01-17 20:02,Marketing,Engineer,Email,I tried the usual steps but it still does not work. I need more room or cleanup help for project documents. screenshot attached,Storage,Quota Increase,Storage,Quota Increase,clean_label,High,Closed,Urgent,34.2
ENT-019938,Global Technology Consulting Company,2025-07-23 14:49,Legal,Team Lead,Portal,I tried the usual steps but it still does not work. I need more room or cleanup help for project documents.,Storage,Shared Drive Cleanup,Storage,Shared Drive Cleanup,clean_label,Medium,Waiting on User,Urgent,
ENT-017517,Global Technology Consulting Company,2025-08-26 01:47,Finance,Specialist,Walk-up,Could you please help when possible? The login works in one place but fails in another.,Access,Email Access,Access,Email Access,clean_label,Low,Closed,Confused,129.4
ENT-006304,Global Technology Consulting Company,2025-09-26 00:56,HR,Coordinator,Email,"i am blocked right now and not sure what changed. i can use the system, but the physical setup is unreliable.",Hardware,Desktop,Hardware,Desktop,clean_label,Medium,Closed,Neutral,74.4
ENT-004710,Global Technology Consulting Company,2025-07-14 06:54,Consulting,Consultant,Walk-up,The device keeps disconnecting during calls and client work.,Hardware,Laptop,Hardware,Laptop,clean_label,Low,Closed,Neutral,154.9
ENT-018162,Global Technology Consulting Company,2025-08-27 07:43,Sales,Analyst,Phone,Could you please help when possible? I need permission for a client workspace before the deadline.,Access,Email Access,Access,Email Access,clean_label,Medium,Resolved,Frustrated,81.4
ENT-010945,Global Technology Consulting Company,2025-12-22 01:03,Legal,Engineer,Chat,I tried the usual steps but it still does not work I submitted something for HR but cannot see the status anywhere,HR Support,Benefits,HR Support,Benefits,clean_label,Medium,Resolved,Urgent,93.6
ENT-007226,Global Technology Consulting Company,2025-11-18 10:37,Finance,Analyst,Email,The screen or attached equipment randomly stops responding.,Hardware,Webcam,Hardware,Webcam,clean_label,Medium,Resolved,Neutral,19.3
ENT-023543,Global Technology Consulting Company,2025-04-10 21:21,Sales,Coordinator,Portal,"This is affecting my work for a client deliverable. A vendor quote or license requst needs review. Also, calls and uploads keep failing because the connection is unreliable.",Purchase,Laptop Request,Purchase,Laptop Request,clean_label,Medium,Resolved,Neutral,63.0
ENT-001990,Global Technology Consulting Company,2025-06-10 20:52,HR,Director,Walk-up,The machine is very slow and makes it hard to complete normal tasks.,Purchase,Laptop Request,Hardware,Battery,noisy_label,High,Resolved,Confused,12.4
ENT-006205,Global Technology Consulting Company,2025-12-08 19:41,Executive Office,Specialist,Phone,The device keeps disconnecting during calls and client work.,Hardware,Blue Screen,Hardware,Blue Screen,clean_label,Medium,Closed,Neutral,26.7
ENT-000743,Global Technology Consulting Company,2025-07-05 03:20,Customer Support,Manager,Email,"I can use the system, but the physical setup is unreliable.",Hardware,Laptop,Hardware,Laptop,clean_label,Low,In Progress,Urgent,
ENT-017424,Global Technology Consulting Company,2025-09-14 06:23,Sales,Engineer,Portal,The error message is not very clear. A teammate can open the location but I get a blocked message.,Access,Active Directory,Access,Active Directory,clean_label,Medium,Resolved,Neutral,31.2
ENT-004968,Global Technology Consulting Company,2025-01-26 08:32,Operations,Manager,Email,My webcam is not working properly. my setup is not behaving normally,Hardware,Webcam,Hardware,Webcam,clean_label,Medium,Waiting on User,Neutral,
ENT-014085,Global Technology Consulting Company,2025-01-08 19:47,Finance,Director,Portal,"Can someone check this for me? The time, leave, or policy information in the portal looks incorrect.",HR Support,Employee Verification,HR Support,Employee Verification,clean_label,Medium,Resolved,Neutral,87.5
ENT-023291,Global Technology Consulting Company,2025-12-27 12:42,HR,Specialist,Phone,this is affecting my work for a client deliverable. a vendor quote or license request needs review.,Purchase,Monitor Request,Purchase,Monitor Request,clean_label,Medium,In Progress,Neutral,
ENT-018148,Global Technology Consulting Company,2025-09-15 08:37,Customer Support,Senior Associate,Email,i cannot sign in or reach the system i need for work. i need the same setup as my teammate,Access,Shared Drive Access,Access,Shared Drive Access,clean_label,Medium,Resolved,Frustrated,63.0
ENT-021761,Global Technology Consulting Company,2025-08-15 01:54,HR,Team Lead,Chat,not sure if this belongs to it or another team the shared location looks full or unavailable,Storage,Quota Increase,Storage,Quota Increase,clean_label,Low,Closed,Frustrated,113.8
ENT-028777,Global Technology Consulting Company,2025-08-19 10:57,Legal,Specialist,Email,"I am blocked right now and not sure what changed. The connection drops often, especially when I am remote.",Network,DNS,Network,DNS,clean_label,Critical,In Progress,Neutral,
ENT-018478,Global Technology Consulting Company,2025-04-26 12:31,Customer Support,Coordinator,Email,Could you please help when possible? The login works in one place but fails in another.,Access,Password Reset,Access,Password Reset,clean_label,Medium,Open,Confused,
ENT-004856,Global Technology Consulting Company,2025-06-08 06:50,Finance,Director,Walk-up,The screen or attached equipment randomly stops responding.,Hardware,Battery,Hardware,Battery,clean_label,Medium,Resolved,Neutral,84.9
ENT-020299,Global Technology Consulting Company,2025-08-12 11:48,Executive Office,Analyst,Email,Not sure if this belongs to IT or another team. The shared location looks full or unavailable.,Storage,File Recovery,Storage,File Recovery,clean_label,Low,Closed,Neutral,57.3
ENT-015753,Global Technology Consulting Company,2025-07-05 16:20,Legal,Team Lead,Walk-up,This started happening after yesterday afternoon. The login works in one place but fails in another. screenshot attached,Access,Salesforce Access,Access,Salesforce Access,clean_label,High,Open,Confused,
ENT-001544,Global Technology Consulting Company,2025-02-20 09:23,Customer Support,Team Lead,Portal,"This is affecting my work for a client deliverable. I can use the system, but the physical setup is unreliable.",Hardware,Blue Screen,Hardware,Blue Screen,clean_label,Medium,Closed,Neutral,49.6
ENT-027263,Global Technology Consulting Company,2025-03-29 11:40,Consulting,Consultant,Chat,not sure if this belongs to it or another team. the system says i do not have enough permission to continue.,Administrative Rights,Temporary Admin,Administrative Rights,Temporary Admin,clean_label,Low,In Progress,Neutral,
ENT-028689,Global Technology Consulting Company,2025-12-25 04:57,Legal,Consultant,Phone,The application is installed but does not launch correctly.,Software,ERP,Software,ERP,clean_label,Medium,In Progress,Neutral,
ENT-016062,Global Technology Consulting Company,2025-02-06 07:37,Sales,Consultant,Phone,I need permission for a client workspace before the deadline.,Access,Salesforce Access,Access,Salesforce Access,clean_label,Medium,Resolved,Neutral,39.9
ENT-020180,Global Technology Consulting Company,2025-12-23 07:28,Marketing,Manager,Walk-up,"I need more room or cleanup help for project documents. Also, a file/link looks unsafe and i did not open it. pls advise",Storage,Backup Request,Storage,Backup Request,clean_label,Medium,Resolved,Frustrated,16.4
ENT-029175,Global Technology Consulting Company,2025-05-07 01:16,Consulting,Specialist,Portal,internal pages load slowly or fail during meetings.,Network,VPN Connectivity,Network,VPN Connectivity,clean_label,Medium,Resolved,Confused,45.0
ENT-024725,Global Technology Consulting Company,2025-12-06 11:39,Finance,Specialist,Email,This started happening after yday afternoon. A project page or dashboard is missing permissions/settings. screenshot attached,Internal Project,Jira Project,Internal Project,Jira Project,clean_label,Low,Closed,Frustrated,96.7
ENT-021762,Global Technology Consulting Company,2025-02-28 06:55,Delivery,Analyst,Walk-up,I need more room or cleanup help for project documents.,Storage,File Recovery,Storage,File Recovery,clean_label,Medium,Open,Neutral,
ENT-004592,Global Technology Consulting Company,2025-11-15 05:13,Delivery,Intern,Portal,The machine is very slow and makes it hard to complete normal tasks.,Hardware,Headset,Hardware,Headset,clean_label,High,In Progress,Neutral,
ENT-015396,Global Technology Consulting Company,2025-03-01 18:02,HR,Senior Associate,Portal,I changed teams and now some tools are unavailable.,Access,Shared Drive Access,Access,Shared Drive Access,clean_label,Medium,Resolved,Frustrated,69.4
ENT-008390,Global Technology Consulting Company,2025-12-04 20:09,Marketing,Consultant,Walk-up,"I tried the usual steps but it still does not work. I can use the system, but the physical setup is unreliable. pls advise",Hardware,Headset,Hardware,Headset,clean_label,Critical,Open,Neutral,
ENT-016802,Global Technology Consulting Company,2025-12-04 14:28,HR,Director,Walk-up,a teammate can open the location but i get a blocked message.,Administrative Rights,Temporary Admin,Access,Salesforce Access,noisy_label,High,Resolved,Neutral,27.7
ENT-029491,Global Technology Consulting Company,2025-02-27 01:06,Delivery,Senior Associate,Email,I am blocked right now and not sure what changed. Internal pages load slowly or fail during meetings.,Network,Remote Office Network,Network,Remote Office Network,clean_label,Medium,Resolved,Neutral,60.7
ENT-025875,Global Technology Consulting Company,2025-11-16 19:40,Operations,Analyst,Portal,the project tracker is not visible to everyone who needs it.,Storage,File Recovery,Internal Project,Reporting Dashboard,noisy_label,High,Waiting on User,Neutral,
ENT-009072,Global Technology Consulting Company,2025-03-13 13:51,Operations,Manager,Chat,Could you please help when possible? I need help with onboarding/offboarding paperwork for a team member.,HR Support,Payroll,HR Support,Payroll,clean_label,Medium,In Progress,Neutral,
ENT-023373,Global Technology Consulting Company,2025-09-08 12:54,Executive Office,Team Lead,Portal,Can you help me order the correct item for my role?,Purchase,Purchase Approval,Purchase,Purchase Approval,clean_label,Medium,Waiting on User,Frustrated,
ENT-001027,Global Technology Consulting Company,2025-11-28 02:00,Customer Support,Manager,Chat,This started happening after yesterday afternoon. The machine is very slow and makes it hard to complete normal tasks. pls advise,Hardware,Desktop,Hardware,Desktop,clean_label,Low,In Progress,Frustrated,
ENT-015771,Global Technology Consulting Company,2025-08-09 08:38,Delivery,Director,Email,A teammate can open the location but I get a blocked message.,Access,SAP Access,Access,SAP Access,clean_label,Medium,Waiting on User,Neutral,
ENT-019902,Global Technology Consulting Company,2025-08-31 00:52,Executive Office,Manager,Chat,"the backup or sync process is not completing. also, the approval flow for a purchase is confusing or stuck.",Storage,OneDrive Full,Storage,OneDrive Full,clean_label,Low,In Progress,Neutral,
ENT-029100,Global Technology Consulting Company,2025-04-21 08:32,Delivery,Coordinator,Email,Calls and uploads keep failing because the connection is unreliable.,Hardware,Blue Screen,Network,Ethernet,noisy_label,Medium,Waiting on User,Neutral,
ENT-026445,Global Technology Consulting Company,2025-11-24 10:13,Finance,Intern,Email,The error message is not very clear. A setup step needs elevated access for a short time.,Administrative Rights,Install Approval,Administrative Rights,Install Approval,clean_label,Medium,Waiting on User,Neutral,
ENT-020370,Global Technology Consulting Company,2025-07-03 04:40,Consulting,Intern,Email,I am unable to save or recover files needed for a project.,Storage,OneDrive Full,Storage,OneDrive Full,clean_label,Medium,Waiting on User,Neutral,
